frame_id,track_id,x,y,w,h,time
3,1,84,69,69,161,120
3,2,394,100,41,144,120
3,3,154,115,57,76,120
4,1,84,69,69,163,160
4,2,394,100,42,144,160
4,3,154,115,56,75,160
5,1,84,68,69,164,200
5,2,394,100,42,143,200
5,3,153,115,57,75,200
6,1,84,69,69,164,240
6,2,394,100,42,142,240
6,3,153,115,56,75,240
7,1,84,69,69,164,280
7,2,394,100,42,142,280
7,3,153,115,57,75,280
8,1,84,69,69,164,320
8,2,395,100,41,142,320
8,3,153,115,57,75,320
9,1,84,69,69,164,360
9,2,394,100,41,141,360
9,3,153,115,57,76,360
10,1,84,69,69,165,400
10,2,394,100,41,141,400
10,3,153,115,58,77,400
11,1,83,69,70,166,440
11,2,394,100,41,141,440
11,3,153,115,58,77,440
12,1,83,69,69,165,480
12,2,394,101,41,140,480
12,3,153,115,58,77,480
13,1,84,69,69,165,520
13,2,394,101,41,141,520
13,3,153,115,58,77,520
14,1,84,69,69,165,560
14,2,394,101,41,141,560
14,3,153,115,58,77,560
15,1,84,70,69,164,600
15,2,394,101,42,141,600
15,3,153,115,58,77,600
16,1,83,69,70,167,640
16,2,394,101,42,141,640
16,3,153,115,58,77,640
17,1,83,69,70,167,680
17,2,394,101,42,142,680
17,3,153,114,58,78,680
18,1,84,69,70,167,720
18,2,394,101,42,144,720
18,3,153,114,58,78,720
19,1,83,68,71,170,760
19,2,394,101,42,144,760
19,3,153,114,58,78,760
19,4,26,243,49,266,760
20,1,83,67,71,172,800
20,2,394,100,42,147,800
20,3,153,114,58,78,800
20,4,37,226,56,293,800
21,1,83,67,71,173,840
21,2,393,100,43,147,840
21,3,153,114,58,78,840
21,4,42,224,61,297,840
22,1,83,66,71,174,880
22,2,393,100,43,149,880
22,3,153,114,58,78,880
22,4,41,220,67,303,880
23,1,82,66,71,172,920
23,2,393,98,42,151,920
23,3,153,114,58,78,920
23,4,41,194,74,315,920
24,1,83,66,70,169,960
24,2,393,98,42,150,960
24,3,154,114,56,77,960
24,4,41,215,74,291,960
25,1,82,65,71,172,1000
25,2,393,98,42,149,1000
25,3,153,114,57,77,1000
25,4,44,228,74,272,1000
26,1,83,68,69,168,1040
26,2,393,98,42,150,1040
26,3,153,114,57,77,1040
26,4,35,194,86,304,1040
27,1,84,69,67,163,1080
27,2,394,98,42,151,1080
27,3,153,114,57,77,1080
